date,year,quarter,month,month_name,day,day_of_week,day_name
26/08/2024,2024,3,8,August,26,1,Monday
27/08/2024,2024,3,8,August,27,2,Tuesday
28/08/2024,2024,3,8,August,28,3,Wednesday
29/08/2024,2024,3,8,August,29,4,Thursday
30/08/2024,2024,3,8,August,30,5,Friday
31/08/2024,2024,3,8,August,31,6,Saturday
01/09/2024,2024,3,9,September,1,7,Sunday
02/09/2024,2024,3,9,September,2,1,Monday
03/09/2024,2024,3,9,September,3,2,Tuesday
04/09/2024,2024,3,9,September,4,3,Wednesday
05/09/2024,2024,3,9,September,5,4,Thursday
06/09/2024,2024,3,9,September,6,5,Friday
07/09/2024,2024,3,9,September,7,6,Saturday
08/09/2024,2024,3,9,September,8,7,Sunday
09/09/2024,2024,3,9,September,9,1,Monday
10/09/2024,2024,3,9,September,10,2,Tuesday
11/09/2024,2024,3,9,September,11,3,Wednesday
12/09/2024,2024,3,9,September,12,4,Thursday
13/09/2024,2024,3,9,September,13,5,Friday
14/09/2024,2024,3,9,September,14,6,Saturday
15/09/2024,2024,3,9,September,15,7,Sunday
16/09/2024,2024,3,9,September,16,1,Monday
17/09/2024,2024,3,9,September,17,2,Tuesday
18/09/2024,2024,3,9,September,18,3,Wednesday
19/09/2024,2024,3,9,September,19,4,Thursday
20/09/2024,2024,3,9,September,20,5,Friday
21/09/2024,2024,3,9,September,21,6,Saturday
22/09/2024,2024,3,9,September,22,7,Sunday
23/09/2024,2024,3,9,September,23,1,Monday
24/09/2024,2024,3,9,September,24,2,Tuesday
25/09/2024,2024,3,9,September,25,3,Wednesday
26/09/2024,2024,3,9,September,26,4,Thursday
27/09/2024,2024,3,9,September,27,5,Friday
28/09/2024,2024,3,9,September,28,6,Saturday
29/09/2024,2024,3,9,September,29,7,Sunday
30/09/2024,2024,3,9,September,30,1,Monday
01/10/2024,2024,4,10,October,1,2,Tuesday
02/10/2024,2024,4,10,October,2,3,Wednesday
03/10/2024,2024,4,10,October,3,4,Thursday
04/10/2024,2024,4,10,October,4,5,Friday
05/10/2024,2024,4,10,October,5,6,Saturday
06/10/2024,2024,4,10,October,6,7,Sunday
07/10/2024,2024,4,10,October,7,1,Monday
08/10/2024,2024,4,10,October,8,2,Tuesday
09/10/2024,2024,4,10,October,9,3,Wednesday
10/10/2024,2024,4,10,October,10,4,Thursday
11/10/2024,2024,4,10,October,11,5,Friday
12/10/2024,2024,4,10,October,12,6,Saturday
13/10/2024,2024,4,10,October,13,7,Sunday
14/10/2024,2024,4,10,October,14,1,Monday
15/10/2024,2024,4,10,October,15,2,Tuesday
16/10/2024,2024,4,10,October,16,3,Wednesday
17/10/2024,2024,4,10,October,17,4,Thursday
18/10/2024,2024,4,10,October,18,5,Friday
19/10/2024,2024,4,10,October,19,6,Saturday
20/10/2024,2024,4,10,October,20,7,Sunday
21/10/2024,2024,4,10,October,21,1,Monday
22/10/2024,2024,4,10,October,22,2,Tuesday
23/10/2024,2024,4,10,October,23,3,Wednesday
24/10/2024,2024,4,10,October,24,4,Thursday
25/10/2024,2024,4,10,October,25,5,Friday
26/10/2024,2024,4,10,October,26,6,Saturday
27/10/2024,2024,4,10,October,27,7,Sunday
28/10/2024,2024,4,10,October,28,1,Monday
29/10/2024,2024,4,10,October,29,2,Tuesday
30/10/2024,2024,4,10,October,30,3,Wednesday
31/10/2024,2024,4,10,October,31,4,Thursday
01/11/2024,2024,4,11,November,1,5,Friday
02/11/2024,2024,4,11,November,2,6,Saturday
03/11/2024,2024,4,11,November,3,7,Sunday
04/11/2024,2024,4,11,November,4,1,Monday
05/11/2024,2024,4,11,November,5,2,Tuesday
06/11/2024,2024,4,11,November,6,3,Wednesday
07/11/2024,2024,4,11,November,7,4,Thursday
08/11/2024,2024,4,11,November,8,5,Friday
09/11/2024,2024,4,11,November,9,6,Saturday
10/11/2024,2024,4,11,November,10,7,Sunday
11/11/2024,2024,4,11,November,11,1,Monday
12/11/2024,2024,4,11,November,12,2,Tuesday
13/11/2024,2024,4,11,November,13,3,Wednesday
14/11/2024,2024,4,11,November,14,4,Thursday
15/11/2024,2024,4,11,November,15,5,Friday
16/11/2024,2024,4,11,November,16,6,Saturday
17/11/2024,2024,4,11,November,17,7,Sunday
18/11/2024,2024,4,11,November,18,1,Monday
19/11/2024,2024,4,11,November,19,2,Tuesday
20/11/2024,2024,4,11,November,20,3,Wednesday
21/11/2024,2024,4,11,November,21,4,Thursday
22/11/2024,2024,4,11,November,22,5,Friday
23/11/2024,2024,4,11,November,23,6,Saturday
24/11/2024,2024,4,11,November,24,7,Sunday
25/11/2024,2024,4,11,November,25,1,Monday
26/11/2024,2024,4,11,November,26,2,Tuesday
27/11/2024,2024,4,11,November,27,3,Wednesday
28/11/2024,2024,4,11,November,28,4,Thursday
29/11/2024,2024,4,11,November,29,5,Friday
30/11/2024,2024,4,11,November,30,6,Saturday
01/12/2024,2024,4,12,December,1,7,Sunday
02/12/2024,2024,4,12,December,2,1,Monday
03/12/2024,2024,4,12,December,3,2,Tuesday
04/12/2024,2024,4,12,December,4,3,Wednesday
05/12/2024,2024,4,12,December,5,4,Thursday
06/12/2024,2024,4,12,December,6,5,Friday
07/12/2024,2024,4,12,December,7,6,Saturday
08/12/2024,2024,4,12,December,8,7,Sunday
09/12/2024,2024,4,12,December,9,1,Monday
10/12/2024,2024,4,12,December,10,2,Tuesday
11/12/2024,2024,4,12,December,11,3,Wednesday
12/12/2024,2024,4,12,December,12,4,Thursday
13/12/2024,2024,4,12,December,13,5,Friday
14/12/2024,2024,4,12,December,14,6,Saturday
15/12/2024,2024,4,12,December,15,7,Sunday
16/12/2024,2024,4,12,December,16,1,Monday
17/12/2024,2024,4,12,December,17,2,Tuesday
18/12/2024,2024,4,12,December,18,3,Wednesday
19/12/2024,2024,4,12,December,19,4,Thursday
20/12/2024,2024,4,12,December,20,5,Friday
21/12/2024,2024,4,12,December,21,6,Saturday
22/12/2024,2024,4,12,December,22,7,Sunday
23/12/2024,2024,4,12,December,23,1,Monday
24/12/2024,2024,4,12,December,24,2,Tuesday
25/12/2024,2024,4,12,December,25,3,Wednesday
26/12/2024,2024,4,12,December,26,4,Thursday
27/12/2024,2024,4,12,December,27,5,Friday
28/12/2024,2024,4,12,December,28,6,Saturday
29/12/2024,2024,4,12,December,29,7,Sunday
30/12/2024,2024,4,12,December,30,1,Monday
31/12/2024,2024,4,12,December,31,2,Tuesday
